Title,Issue found,Step to reproduce,Actual result,Expected result,Severity,IEEE_Type,IEEE_Mode,IEEE_Insertion_Activity,IEEE_Effect,Reason/Recommendation,,
Filter log status ไม่ถูกต้อง,1. กดหน้า procedure 2. เลือก log status (submitted/approved/rejected) 3. log ไม่ถูก filter ตาม status,log ควรถูก filter ตาม status,,,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
API procLogAPI.updateVerifyStatus ส่ง param ไปผิด,SceneProcedureDetails,1. เพิ่มอาจารย์ที่ปรึกษาเป็น → teacherOne 2. ใช้ role student ส่ง Log ไปหาอาจารย์คนอื่นที่ไม่ใช่ teacherOne (ส่งให้ อ.เอ ก็ได้) 3. ไปที่ procedure log นั้น และกด approve,api update ชื่ออาจารย์ที่ approve เป็นชื่ออาจารย์ที่ปรึกษา แทนที่จะเป็นชื่อของอาจารย์ที่ approve,api update ชื่อเป็นชื่อของคนที่กด approve,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
API update form 360 fail due to unconsumed form_structure_json,submit form 360,1. เข้าไปตอบ 360 2. กด submit,"ขึ้น fail submit { """"status"""": """"fail"""" info"""": """"[submissions] Failed to update submission: Unconsumed column names: form_structure_json"""" }",ควร suscess,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
Scroll View on Note from teacher ของ Android หาย,ไม่มี scroll ให้เลื่อนอ่าน note from teacher,,หากข้อความ note from teacher ยาวจะอ่านได้ไม่หมด,scroll อ่านได้,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Form evaluator เลือกไม่ตรงหมวดได้,form evaluator เลือกไม่ตรงหมวดได้,หากทำการสร้างฟอร์มประเภท360 แล้วเลือกผู้ประเมินเป็น นักเรียนหรืออาจารย์ ที่ระบุชื่อไปแล้ว ก็ยังสามารถเปลี่ยนหมวดของevaluator ให้ผิดได้ เช่น Teacher1 แต่เป็นหมวด Student/ or Other,แสดงข้อมูลผิดหมวด,,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
General: Notification mailbox,notification ที่ mailbox ไม่หาย,🍎 หากมีข้อความใหม่เข้า ไม่ว่าจะอ่านหรือ ประเมินไปแล้ว หากออกไปที่หน้า Home ตัว noti จะยังไม่หายไป จนกว่าจะเข้ามาใน mailbox อีกรอบ 🤖 หากเป็น Android ต้องกด Mark all as read 2 ครั้ง (student role) ถึงจะ read all แต่ noti หายทันทีที่กลับมา Home,Noti mail ค้าง จนกว่าจะกดเข้า mailbox รอบ2,เมื่อไม่มีข้อความค้างที่ยังไม่อ่าน และออกมาที่ Home ก็ควรไม่มีการแจ้งเตือนใดๆแล้ว,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
Consult แก้ไขเวลาไม่ได้,Consult แก้ไขเวลาไม่ได้,เมื่อนักเรียนทำการนัดหมายกับครูแล้ว อาจารย์จะ 1. กดปุ่ม Enter actual date time แก้ไขไม่ได้ เวลาจะแสดงค่า start=end 2. จะไม่สามารถตั้งเวลา follow up ได้ เพราะเวลาจะ start= end,,,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Quick gen ไม่สามารถ deactivate ได้,Quick gen ไม่สามารถ deactivate ได้,หน้า home > Quick gen > ไม่สามารถกด deact ได้,กด deact บน drawer ไม่เกิดผลอะไร,drawer ที่ปรากฎ ต้อง deactivate code ได้,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Cannot update min_req of procedure to newly created log_type,page /admin/procedure,1. สร้าง log_type (operator observe ..etc) 2. ไปที่หน้าสร้าง edit procedure 3. จะเห็นว่าช่อง min_req ของ log_type ใหม่ จะว่าง 4. เติม ค่า min_req ลงในช่องว่าง แล้วกด save,ถ้าเปิดขึ้นมาใหม่จะพบว่า min_req ไม่ถูก save ไป,ค่า min_req ควรจะ save,Major,Data,Missing,Coding,Functionality,,,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Missing, Effect=Functionality"
Consult ปัญหาเวลาแบบเดียวกับ Conference,ตั้งเวลา start หลังจาก End ได้,เมื่อทำการสร้าง Consult ในช่องเวลาให้แก้เฉพาะ Start time ไปอนาคตไกลๆ ละกดสร้างเลย จะไม่มีการดักว่า End time ต้องปรับตาม,ทำให้ End time มาก่อน Start time ได้,Start time มาก่อน End time เสมอ,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
Procedure แนบฟอร์มไม่ได้,Procedure แนบฟอร์มไม่ได้,สร้างprocedure > กด + เพื่อแนบฟอร์ม > select epa or dop > select pre-requisite > select evaluator > submit form > ประเมินpre- requisiteตัวเองให้เรียบร้อย > Back > กลับมาหน้า Procedure logที่กำลังลงบันทึกอยู่ตอนแรก > พบว่าฟอร์มไม่แนบให้,ฟอร์มไม่แนบให้ หายไปเลย แต่ไปอยู่ในเมนู formแทน,ฟอร์มแนบพร้อม procedure log ได้ปกติ,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Enhance Export conference,Export conference,1. ไปที่ export 2. เลือก model export conference,export conference ไม่สามารถแยกว่าใครเป็น presenter/attendee ได้,,Major,Data,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Missing, Effect=Functionality",,
General: MyForm number 440 is not response,cannot open page due to `ReferenceError: submission_id is not defined` from MyForm/440,log in as student1 and open MyForm form number 440 http://localhost:18080/myform/440,,,Critical,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
BACK button in new tab form was not function - patientcare,หลังจากเปิด form กดปุ่ม back แต่ปุ่ม back ไม่ navigate,เข้าหน้า pateintcare → เปิด patientcare → ตัว link redirect ไปเป็น new tab → กดปุ่ม back ด้านบนซ้าย,nothing happen,ควรกลับไปหน้า home,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Something went wrong,Something went wrong เฉพาะเวลา kill app > create new,Kill App > Login > Procedure log page > Create new procedure log > click + Form > Select EPA or DOP > Select Pre-requisite form > Select evaluator > select appointment date > submit form,Something went wrong,ส่งฟอร์มได้ปกติ พาไปทำSelf reflection,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
Display form operation_date(Performed date) on form detail,Menu Form,กดเข้าไปดู form detail,,เพิ่ม Performed date ไว้ใต้ Pending at,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
ใช้ Filter Custom date ของ conference ไม่ได้,Filter Drawer ในหน้า conference,ใช้ Filter Time เลือก Custom,Calendar ไม่สามารถเลือกวันที่ย้อนหนังได้,,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Advisor ไม่ขึ้น,อาจารย์ที่ปรึกษาไม่เห็น Log ของนักเรียนในที่ปรึกษา,1.ไปที่หน้า Procedure log 2.เลือก Select Log 3.Filter ไปที่ Advisor,อาจารย์ที่ปรึกษาหาย ทำให้ไม่เห็น log ที่นักเรียนในที่ปรึกษา Submitted,,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
