Title,Issue found,Step to reproduce,Actual result,Expected result,Severity,IEEE_Type,IEEE_Mode,IEEE_Insertion_Activity,IEEE_Effect,Reason/Recommendation,,
export รายชื่ออาจารย์บนระบบ,,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
เพิ่ม column usertype ใน Model: instructor ของ Export,,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
Department ไม่แสดงในหน้า create course,,,,,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
Export Case XLSX ของ procedure และ icd9 ของ case ที่เลือกมาสอบ,,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
[General] - Procedure Log ไม่ Update couse_id ใหม่หลังจากเปลี่ยน Rotation,create procedure log,"Website/Mobile [มีรูปอยู่ใน Comment]
 1.Log in ด้วย student
 2.ไปที่เมนู Procedure Log
 3.กดปุ่มเพิ่ม “+Add” / “+”
 4.เปลี่ยน Rotation ใหม่
 5.ลงข้อมูลทั้งหมด
 6.กด Send Log","หลังจากลงข้อมูลเสร็จแล้วจะพบว่า course_id ไม่ใช่ของ course ที่ผูกอยู่กับ rotation ที่เลือกไป
 - [Mobile] - course_id ที่อยู่ใน procedure log เป็นของ rotation อันก่อนหน้านี้ที่จะเปลี่ยนใหม่
 - [Web] - course_id ที่อยู่ใน procedure log เป็นของ rotation อันแรกที่อยู่ในช่อง Select Rotation",couse_id ควรจะเปลี่ยนใหม่ไปตาม rotation ที่ user เลือกด้วย,Minor,Interface,Wrong,Design,Functionality,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Design,,
กด Submit EPA16 Cancer pain/neuropathic pain แล้วคำตอบบางหัวข้อหายไป,"เมื่อตอบแบบประเมินไปแล้วกด submit คำตอบบางคำตอบหายไปครับ (ผมลองทั้ง mobile & website ด้วยครับ)
 

 qcode ของช่องคะแนนรวมไม่มี",,เมื่อตอบแบบประเมินไปแล้วกด submit คำตอบบางคำตอบหายไปครับ,เมื่อเลือกคำตอบแล้วกด submit แบบประเมิน คำตอบจะยังอยู่ไม่หายไป,Minor,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
เพิ่ม Tags ของ Symptom และ Diagnosis ที่เพิ่มเข้ามาใหม่ของ Patient Care (02/06/2025) “Obstetrics & Gynecology”,Symptom (อาการนำ) และ Diagnosis (โรค/ภาวะ) ที่ได้ทำการ Add เข้าไปใหม่ใน Patient Care ยังไม่อยู่ใน Tags ค้นหาของ “Obstetrics & Gynecology”,"Login as Student
 1. Select menu “Patient Care”
 2. Press + or Add Patient Care
 3. Choose “อาการนำ” or “โรค/ภาวะ” in Patient Care Detail
 4. Choose Tags “Obstetrics & Gynecology”",Symptom (อาการนำ) และ Diagnosis (โรค/ภาวะ) ที่ได้ทำการ Add เข้าไปใหม่ใน Patient Care ยังไม่อยู่ใน Tags ค้นหาของ “Obstetrics & Gynecology”,,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
กด Select Form ในหน้า Form แล้วแอป crash,กด Select Form ในหน้า Form แล้วแอป crash,"กด Select Form จากทางเข้า 3 แบบ
 1. Procedure > Form > กด select form > crash💥 
 2. Patient care > Form > กดselect form > crash 💥
 3. Form > กด select form > crash 💥",,,Critical,Logic,Wrong,Coding,Performance,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Logic (Wrong),,
จำนวน Report Procedure ใน Export กับ Superset ไม่ตรงกัน,ข้อมูลจำนวน report ของ export กับ superset ไม่ตรงกัน,,,ข้อมูลจำนวน report ของ export กับ superset ตรงกัน,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
ข้อมูล Superset ไม่ตรงกับ Export,ข้อมูล นับจำนวน procedure ใน superset ไม่ตรงกับ export,,,ข้อมูล นับจำนวน procedure ใน superset ตรงกันกับ export,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
add filter field in export feature,ไม่มี field place_of_procedure บน export procedure/logbook,,,,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
Teacher สามารถกด Submit แบบประเมินได้ แม้จะยังไม่ได้ตอบคำถามที่ require ซึ่งคำถามนั้นเคยผ่านการกดตอบและกดยกเลิกคำตอบมาแล้วก็ตาม,"พบช่องโหว่ของระบบในหน้าการทำแบบประเมิน โดยระบบอนุญาตให้ผู้ใช้ส่งแบบประเมินได้สำเร็จ แม้ว่าจะมีข้อคำถามที่เป็น Required Field ว่างอยู่
 

 Root Cause Analysis (เบื้องต้น): คาดว่า Logic การตรวจสอบค่าว่างทำงานผิดพลาดหลังจากมีการ ""เลือกตอบ"" แล้ว ""ยกเลิกคำตอบ"" (Undo/Clear Selection) ทำให้ Flag ของคำถามนั้นยังค้างสถานะว่าเป็น ""Answered"" อยู่ใน Cache หรือ State ของ Form ทั้งที่ Value จริงๆ กลับไปเป็น Null/Empty แล้ว
 

 ปัญหาเจอที่ anestlog แต่คาดว่าเป็นทุก production","1 เข้าไปทำแบบประเมินใน Rotation ที่กำหนด
 2 ยกเลิกคำตอบ ในข้อนั้นออก เพื่อให้กลับเป็นค่าว่าง
 3 กดปุ่ม Submit ของแบบประเมิน
 4 ระบบยอมให้ Submit ผ่านได้สำเร็จ ทั้งที่ข้อนั้นเป็นค่าว่างและเป็นข้อที่บังคับตอบ",ระบบยอมให้ Submit ผ่านได้สำเร็จ และบันทึกข้อมูลเข้าฐานข้อมูลทั้งที่ข้อบังคับนั้นไม่มีข้อมูล (Empty String/Null),ระบบ ต้องไม่อนุญาต ให้ Submit ได้หากยังมีข้อ Required ที่เป็นค่าว่างระบบควรแสดง Error Message หรือ มี Validation Alert เพื่อให้ผู้ใช้กลับไปแก้ไขให้ครบถ้วน,Critical,Interface,Missing,Design,Performance,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Performance ในขั้นตอน Design,,
Unauthorized Approval via Notification Inbox by Former Evaluator (Instructor + Admin Role),"พบปัญหาด้านการควบคุมสิทธิ์ (Access Control) โดยระบบอนุญาตให้ Evaluator ท่านเดิม (คนที่ 1) ที่มี Role เป็น Instructor + Admin สามารถกด Approve รายการ Procedure Log ได้ผ่านทาง Notification Inbox ทั้งที่รายการนั้นถูก Revert to draft และเปลี่ยนตัว Evaluator ไปเป็นท่านอื่นแล้ว
 

 จุดสังเกตสำคัญ (QA Analysis):
 ปัญหานี้อาจเกิดจากระบบตรวจสอบสิทธิ์ผิดพลาด โดยเมื่อ User มีพ่วงตำแหน่ง Admin ทำให้ระบบอนุญาตให้ทำ Action ได้ทุกที่ (Bypass Check) โดยไม่ได้ตรวจสอบว่าใน Log นั้นๆ User ท่านนี้ยังอยู่ในสถานะ ""Current Evaluator"" หรือไม่ หลังจากที่มีการ Revert และเปลี่ยนชื่อผู้ประเมินไปแล้ว","1. Student: สร้าง Procedure Log และส่งให้ Evaluator A (Role: Instructor + Admin)
 2. Evaluator A: ได้รับ Notification ใน Inbox และกดเข้าไปดูข้อมูลได้ตามปกติ (สถานะ Log: Submitted)
 3. Evaluator A: กดปุ่ม Approve รายการดังกล่าว
 4. Student: กดปุ่ม Revert to draft เพื่อดึง Log กลับมาแก้ไข (สถานะ Log: Draft)
 5. Student: ทำการ เปลี่ยนตัว Evaluator จากเดิม (Evaluator A) เป็น Evaluator B และส่ง Log อีกครั้ง
 6. Evaluator A (Instructor + Admin): กลับไปที่ Inbox Notification ของตนเอง (ซึ่งรายการ Noti เดิมในข้อ 2 ยังไม่ถูกลบออก)
 7. Evaluator A: กดที่ Notification เดิมนั้นเพื่อเข้าสู่หน้า Detail และทำการกด Approve","Evaluator A (ที่เป็น Instructor + Admin) สามารถกด Approve ผ่าน Notification ได้สำเร็จ แม้ว่าปัจจุบันผู้ประเมินที่ถูกระบุใน Log จะเปลี่ยนเป็น Evaluator B แล้วก็ตาม
 

 หมายเหตุ: หากเป็น Role Instructor ทั่วไป (ไม่มี Admin พ่วง) อาจจะไม่พบปัญหานี้ (ต้องตรวจสอบเพิ่มเติม)","Authorization Check: ระบบต้องตรวจสอบว่า User ที่กำลังทำการ Approve คือ ""Current Evaluator"" ที่ถูกระบุใน Log ปัจจุบันเท่านั้น
 

 Role Restrict: แม้จะมีสิทธิ์ Admin แต่ในบริบทของการประเมิน (Evaluation Flow) ไม่ควรอนุญาตให้กด Approve รายการที่ตนเองไม่ได้เป็นผู้รับผิดชอบผ่านทาง Notification เก่า
 

 Notification Update: เมื่อมีการ Revert to draft หรือเปลี่ยน Evaluator, ระบบควร Clear หรือ Revoke Notification ของ Evaluator ท่านเดิมออกเพื่อป้องกันการสับสน",Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
"Criteria ในเมนู Score บนแอป แสดงผลเป็น ""0""","พบปัญหาการแสดงผลข้อมูลไม่ถูกต้องใน เมนู Score บน Mobile Application โดยค่า Criteria แสดงผลเป็น ""0"" ตลอดเวลา ซึ่งไม่สอดคล้องกับข้อมูลบน Web ที่แสดงผลค่าได้ถูกต้องตามเงื่อนไขที่ตั้งไว้","1. เข้าสู่ระบบผ่านหน้าเว็บ ไปที่เมนู Score
 2. กดปุ่ม ""New"" เพื่อสร้าง Preset สำหรับ Export Score
 • ระบุค่า Criteria > 0 (เช่น ตั้งค่าเป็น 50 หรือ 100)
 • ระบุข้อมูล Required อื่นๆ ให้ครบถ้วน
 3. ทำการ Upload Score เข้าไปใน Preset นั้น และกด Publis 
 4. ตรวจสอบว่าหน้าเว็บแสดงค่า Criteria ได้ถูกต้อง (ตามที่ตั้งไว้ในข้อ 2)
 5. Login เข้าใช้งานแอปพลิเคชันด้วย Account เดียวกัน โดยเข้าไปที่เมนู Score และตรวจสอบ Preset ที่เพิ่งสร้าง","ข้อมูล Criteria บน Mobile Application แสดงค่าเป็น ""0"" เสมอ ทั้งที่บน Web แสดงค่าปกติ",ข้อมูล Criteria บน Mobile Application ต้องแสดงผลตรงตามที่ตั้งค่าไว้บน Web (สอดคล้องกัน),Major,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
"เปลี่ยน default function จาก ""Group By” เป็น ""Value/Filter” ในเมนู Export","ในเมนู Export พบว่าระบบตั้งค่า Default Function เป็น ""Group By"" ซึ่งทำให้การแสดงผลข้อมูลไม่ถูกต้อง เนื่องจากข้อมูลที่มีค่าซ้ำกันจะถูกรวบ (Aggregated) ให้แสดงผลเพียงบรรทัดเดียว ทำให้ผู้ใช้งานเข้าใจผิดว่านิสิตบันทึกข้อมูลเพียงครั้งเดียว ทั้งที่ในความเป็นจริงมีการบันทึกหลายครั้ง","1.Log in เข้าสู่ระบบ MDCUXP ด้วยสิทธิ์อาจารย์ หรือ Admin
 2.ไปที่เมนู Export
 3.สังเกตที่หน้าจอ Export: ระบบจะตั้งค่า Function เป็น ""Group By""
 4.กดปุ่ม Export และเปิดไฟล์ที่ได้รับ
 >>> ไฟล์ข้อมูลที่ได้รับ ถูกรวบเหลือบรรทัดเดียว ไม่เห็นรายละเอียดแยกตามครั้งที่บันทึก
 5.กลับมาที่หน้าเดิม เปลี่ยน Function เป็น ""Value/Filter""
 6.กดปุ่ม Export อีกครั้ง
 >>> ไฟล์ข้อมูลที่ได้รับ แสดงผลแยกบรรทัดถูกต้องตามจำนวนที่บันทึกจริง",,"หน้า Export ระบบควรตั้งค่า Default Function เป็น ""Value/Filter"" เพื่อให้แสดงข้อมูลทั้งหมดเป็นค่าเริ่มต้นการแสดงผลในไฟล์ Export ต้องแสดงครบทุก Record ที่นิสิตบันทึกไว้ โดยไม่มีการรวบบรรทัด เว้นแต่ผู้ใช้จะเลือกเปลี่ยนเป็น ""Group By"" ด้วยตนเอง",Major,Interface,Missing,Requirements,Security,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Missing),,
รูปภาพใน Patient Care ไม่ซิงค์ข้ามแพลตฟอร์ม (Desktop vs Mobile),รูปภาพที่บันทึกใน Patient Care เมื่อเปิดข้าม Patchform จะไม่แสดงรูปภาพที่บันทึกไว้,"Case A (Desktop -> Mobile):
 • ล็อกอินเวอร์ชัน Desktop และอัปโหลดรูปภาพในเมนู Patient Care
 • Send Log เพื่อบันทึกข้อมูล
 • เปิดแอปบน iOS หรือ Android แล้วเข้าไป Patient Care เดิมเดียวกัน
 • Observation: ไม่พบรูปภาพที่อัปโหลดไว้
 

 Case B (Mobile -> Desktop):
 • ล็อกอินผ่าน App (iOS/Android) และอัปโหลดรูภาพปใน Patient Care
 • เปิดบน Desktop แล้วเข้าไปดู Patient Care เดิมเดียวกัน
 • Observation: รูปภาพที่อัปโหลดไว้บน Desktop",,รูปจะต้องเปิดแสดงขึ้นได้ทุก Patchform,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
เพิ่มคอลัมน์ evaluator_firstname และ evaluator_lastname ในเมนู Export สำหรับ Base Model: Patient Care Diagnosis,ไม่มี fields evaluator_firstname และ evaluator_lastname ให้เลือก เลยไม่สามารถดู report ว่า log อาจารย์ท่านใดเป็นผู้ประเมิน,Admin >> Export >> เลือก Preset >> เลือก Base Model Patient Care Diagnosis,,Available fields มี evaluator_firstname และ evaluator_lastname ให้เลือก,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
ข้อมูล Research ของแพทย์ไม่แสดงผลในหน้า Admin,ข้อมูลของคุณหมอ ไม่แสดงที่หน้าของ Admin,,,ข้อมูลที่ไม่แสดง ให้กลับมาแสดงอย่างถูกต้องที่หน้า Admin,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
หัวกระดาษของ Student Portfolio หาย,,รูปข้างล่าง,,,Minor,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
ปรับคำ UI ในเมนู Form บนเว็บให้เหมาะสมกับการใช้งาน,"1 Create Form แก้ไขให้เป็น Add Form
 2 Edit Form แก้ไขให้เป็น Add My Form","1 Instructor >> My Form
 2 Instructor >> My Form >> Create Form","แก้ไขให้เป็น Add Form
แก้ไขให้เป็น Add My Form",,Minor,Interface,Wrong,Design,Usability,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Usability ในขั้นตอน Design,,
Bug: course ไม่แสดงใน drop-down หน้า create rotation,,,,,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
แอป Crash ทันทีเมื่อกดปุ่ม Logbook submission report (เฉพาะ Android),,"1 เข้า Profile
 2 กดปุ่ม Logbook submission report",,,Critical,Interface,Wrong,Design,Performance,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Wrong),,
Pivot can’t Export as XLSX (Error loading XLS! Please check your filters),ไม่สามารถทำการ Export Pivot as XLSX ได้,,ทำการ Export as XLSX แล้วขึ้นแจ้งเตือน Error loading XLS! Please check your filters,สามารถ Export as XLSX ได้,Major,Data,Wrong,Coding,Performance,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
